Titel,Status,vom,bis zum,von,bis,AnsprechpartnerIn,E-Mail,Tel. 1,Tel 2,TeilnehmerInnen,Räume,Bestuhlung,Ausrüstung,Catering,Kosten Catering,Kosten Räume,Kosten gesamt,
Silvesterparty,active,2025-03-01,2025-03-01,10:00,11:00,Bar Bara,bb@bb.com,02361 12 34 567,,70,BTZ - N1,Hufeisen,,Cookies (verschiedene Sorten) | Mini-Gebäck,,,,Wer kommen mag ist herzlich eingeladen!
Veranstaltung Nr. 1,active,2025-03-23,2025-03-23,08:00,12:00,Max Mustermann,mm@bb.com,02361 12 34 567,,20,MCZ - Haard,Theater,1 x Bildschirm | 2 x Flipchart,Kaffeespezialitäten | Mineralwasser (Karaffe),,,,Ich bräuchte unbedingt Sticker im Moderationskoffer!!!
Veranstaltung Nr. 2,active,2025-02-28,2025-03-02,08:00,16:00,Anne Doe,ad@bb.com,02361 12 34 567,,13,MCZ - Stimberg | MCZ - Haard,Hufeisen,1 x Bildschirm | 1 x Medienkoffer,Kaffeespezialitäten | Mineralwasser (Karaffe) | Mittagsmenü nach Wahl,,,,
Veranstaltung Nr. 3,active,2025-03-04,2025-03-06,08:00,22:00,Maria Mustermann,mam@bb.com,02361 12 34 567,,20,MCZ - Stimberg | MCZ - Haard,Einzeltische,1 x Bildschirm,Kaffeespezialitäten | Mineralwasser (Karaffe) | Mittagsmenü nach Wahl,,,,Bitte veganes Wasser
Veranstaltung Nr. 4,active,2025-03-04,2025-03-04,13:00,16:00,John Doe,jd@bb.com,02361 12 34 567,,8,BTZ - N1,keine Stühle,1 x Bildschirm,Mittagsmenü nach Wahl | Kaffeespezialitäten | Mineralwasser (Karaffe),122,70,192,
Veranstaltung Nr. 5,active,2025-03-10,2025-03-11,09:00,16:00,John Doe,jd@bb.com,02361 12 34 567,,8,MCZ - Seminarraum Garten,Tischblock,1 x Bildschirm,Kaffeespezialitäten | Mineralwasser (Karaffe) | Mittagsmenü nach Wahl,,,,
Veranstaltung Nr. 4,active,2025-03-18,2025-03-18,08:00,12:00,John Doe,jd@bb.com,02361 12 34 567,,15,MCZ - Seminarraum groß,Tischblock,1 x Bildschirm,Kaffeespezialitäten | Mineralwasser (Karaffe),,,,
Veranstaltung Nr. 4,active,2025-03-25,2025-03-25,13:00,22:00,John Doe,jd@bb.com,02361 12 34 567,,20,MCZ - Seminarraum groß,Tischblock,1 x Bildschirm,Kaffeespezialitäten | Mineralwasser (Karaffe) | Mittagsmenü nach Wahl,,,,
Abendveranstaltung,active,2025-03-14,2025-03-15,19:00,21:00,John Doe,jd@bb.com,02361 12 34 567,,20,MCZ - Seminarraum klein,Tischblock,1 x Bildschirm,Mineralwasser (Karaffe),,,,
gdfgsdg,cancelled,2025-02-27,2025-02-27,10:00,23:00,sdfgsdfg sdfgsdfg,fe@ww.com,0123456789,,6,BTZ - N1 | MCZ - Stimberg,keine Stühle,1 x Flipchart,Frühstücksbuffet | Mittagessen | Kaffee,,,,
Gefahrstoffe,active,2025-03-12,2025-03-12,09:00,16:00,Fabian Ruin,fr@bb.com,0123456789,,25,BTZ - N1,keine Stühle,1 x Bildschirm | 1 x Flipchart | 1 x Medienkoffer | 1 x Pinnwand,Kaffee | Mineralwasser (Karaffe) | Mittagsmenü nach Wahl | Cookies (verschiedene Sorten),,,,Ganz schön teuer
Schachverein,active,2025-03-18,2025-03-18,14:00,18:00,Fabian Ruin,fr@bb.com,0123456789,,10,MCZ - Haard,Tischblock,1 x Bildschirm,Kaffeespezialitäten | Saft (1.0 l) | Mini-Gebäck,,,,
Sprachkurs,active,2025-03-25,2025-03-25,18:00,21:00,Fabian Ruin,fr@bb.com,0123456789,,10,MCZ - Stimberg,Tischblock,1 x Bildschirm,Mineralwasser (Karaffe),,,,
Einführungstag neue Mitarbeitende,active,2025-03-27,2025-03-27,09:00,17:00,Fabian Ruin,fr@bb.com,0123456789,,40,BTZ - N1,Hufeisen,1 x Flipchart | 1 x Medienkoffer,Kaffeespezialitäten | Mineralwasser (Karaffe) | Mittagsmenü nach Wahl | Mini-Gebäck,,,,
Klausurtagung AH,active,2025-03-18,2025-03-18,09:00,18:00,Fabian Ruin,fr@bb.com,0123456789,017112345678,20,MCZ - Stimberg | MCZ - Seminarraum Garten,Tischblock,1 x Bildschirm | 1 x Flipchart | 1 x Medienkoffer | 3 x Pinnwand,Mittagessen | Kaffeespezialitäten | Mineralwasser (Karaffe) | Mini-Gebäck | Studentenfutter (50g),,,,
EhrenamtlerInnen Haus Abendsonne,active,2025-03-17,2025-03-17,12:00,14:00,Fabian Ruin,fr@bb.com,0123456798,,15,BTZ - N1,keine Stühle,,Kaffee | Mineralwasser (Karaffe) | Mittagsmenü nach Wahl | Studentenfutter (50g),,,,
MAV Wahlvorbereitung,active,2025-03-10,2025-03-10,08:00,14:00,Fa Ru,fr@bb.com,0123456789,,12,MCZ - Seminarraum groß,Tischblock,1 x Bildschirm,Kaffee | Mineralwasser (Karaffe) | ½ belegte Brötchen,,,,
Veranstaltung Nr. 5,active,2025-04-10,2025-04-10,08:00,16:00,Fa Ru,info@fablog.eu,0123456789,,20,BTZ - N1,Tischblock,1 x Bildschirm,Kaffeespezialitäten | Mineralwasser (Karaffe) | Saft (1.0 l) | Mittagsbuffet | Stück Kuchen,,,,
April April,active,2025-04-01,2025-04-01,18:00,23:00,Fa Ru,info@fablog.eu,0123456789,,2,BTZ - N1,keine Stühle,,,,,,
Yoga,cancelled,2025-03-27,2025-03-27,08:00,22:00,Fa Ru,fr@bb.com,0123456789,,5,MCZ - Seminarraum Garten,keine Stühle,,Nussecke,,,,
Test 20,active,2025-03-20,2025-03-20,08:00,14:00,Fa Ru,info@fablog.eu,012345678,,4,MCZ - Seminarraum klein,1 großer Tischblock,1 x Bildschirm | 1 x Medienkoffer,Kaffeespezialitäten | Mineralwasser (Karaffe) | ½ belegte Brötchen,,,,
Test Invoice,active,2025-04-03,2025-04-03,09:00,11:00,Fa Ru,info@fablog.eu,0123456789,,4,MCZ - Seminarraum klein,1 großer Tischblock,1 x Bildschirm,Mineralwasser (Karaffe),9.6,70,79.6,
Test Storno,cancelled,2025-03-25,2025-03-25,08:00,14:00,Fa Ru,fr@bb.com,0123456789,,2,BTZ - N1,Theater,1 x Bildschirm,Frühstücksbuffet,10,120,130,
Pflicht,cancelled,2025-03-31,2025-03-31,08:00,15:00,Fa Ru,fruin@vivaldi.net,0123456789,,6,BTZ - N1 | MCZ - Seminarraum klein,Theater,1 x Bildschirm,Baguette | Plunder-Teilchen,33.6,180,213.6,
Storno,cancelled,2025-03-31,2025-03-31,08:00,16:00,Fa Ru,fruin@vivaldi.net,0123456789,,12,BTZ - N1 | MCZ - Stimberg | MCZ - Haard,Theater,2 x Bildschirm | 1 x Medienkoffer,Kaffeespezialitäten | Mineralwasser (Karaffe) | Saft (1.0 l),88.8,240,328.8,
